Number,Portfolio,Commonwealth body name ,Type of body ,Accountable authority or governing board ,Economic sector,AITS_LInk
78,Prime Minister and Cabinet ,Australian Public Service Commission ,Non-corporate Commonwealth entity ,"Australian Public Service Commissioner – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 5(c) ",General Govt Sector ,https://www.apsc.gov.au/about-us/accountability-and-reporting/transparent-use-ai-commission
79,Prime Minister and Cabinet ,National Indigenous Australians Agency ,Non-corporate Commonwealth entity ,"Chief Executive Officer - Public Governance, Performance and Accountability Rule 2014 schedule 1 item 14 ",General Govt Sector ,https://www.niaa.gov.au/artificial-intelligence-ai-transparency-statement
80,Prime Minister and Cabinet ,Office of the Official Secretary to the Governor-General ,Non-corporate Commonwealth entity ,Official Secretary – Governor-General Act 1974 section 6(4)(b) ,General Govt Sector ,https://www.gg.gov.au/sites/default/files/2025-02/OOSGG%20AI%20transparency%20statement%202025.pdf
81,Prime Minister and Cabinet ,Workplace Gender Equality Agency ,Non-corporate Commonwealth entity ,Chief Executive Officer – Workplace Gender Equality Act 2012 section 8A(3)(b) ,General Govt Sector ,https://www.wgea.gov.au/sites/default/files/documents/WGEA-AI-transparency-statement-25Feb2025.pdf
82,Social Services ,Department of Social Services ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dss.gov.au/doing-business-us/corporate-policies/artificial-intelligence-ai-transparency-statement
83,Social Services ,Australian Institute of Family Studies (AIFS) ,Non-corporate Commonwealth entity ,Director – Family Law Act 1975 section 114B(1C)(b) ,General Govt Sector ,https://aifs.gov.au/main/policies/ai-transparency-statement
84,Social Services ,"Domestic, Family and Sexual Violence Commission ",Non-corporate Commonwealth entity ,"Commissioner – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 10AA(c) ",General Govt Sector ,https://www.dfsvc.gov.au/resources/our-ai-transparency-statement
86,Treasury ,Department of the Treasury ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://treasury.gov.au/the-department/accountability-reporting/ai-transparency-statement
87,Treasury ,Australian Bureau of Statistics ,Non-corporate Commonwealth entity ,Statistician – Australian Bureau of Statistics Act 1975 section 5(5)(b) ,General Govt Sector ,https://www.abs.gov.au/about/legislation-and-policy/ai-transparency-statement
88,Treasury ,Australian Competition and Consumer Commission (ACCC) ,Non-corporate Commonwealth entity ,Chairperson – Competition and Consumer Act 2010 section 44AAL(c) ,General Govt Sector ,https://www.accc.gov.au/about-us/accc-role-and-structure/governance-and-accountability/artificial-intelligence-ai-transparency-statement
89,Treasury ,Australian Financial Security Authority ,Non-corporate Commonwealth entity ,Inspector-General – Bankruptcy Act 1966 section 13(c) ,General Govt Sector ,https://www.afsa.gov.au/about-us/accountability-and-reporting/ai-transparency-statement
90,Treasury ,Australian Office of Financial Management (AOFM) ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 2(c) ",General Govt Sector ,https://www.aofm.gov.au/about/compliance-reporting/artificial-intelligence-transparency-statement
91,Treasury ,Australian Prudential Regulation Authority (APRA) ,Non-corporate Commonwealth entity ,Chair – Australian Prudential Regulation Authority Act 1998 section 7(2)(b) ,General Govt Sector ,https://www.apra.gov.au/apras-ai-transparency-statement
92,Treasury ,Australian Securities and Investments Commission (ASIC) ,Non-corporate Commonwealth entity ,Chairperson – Australian Securities and Investments Commission Act 2001 section 9A(b) ,General Govt Sector ,https://asic.gov.au/about-asic/what-we-do/how-we-operate/accountability-and-reporting/artificial-intelligence-transparency-statement/
93,Treasury ,Australian Taxation Office ,Non-corporate Commonwealth entity ,"Commissioner of Taxation – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 7(c) ",General Govt Sector ,https://www.ato.gov.au/about-ato/commitments-and-reporting/information-and-privacy/ato-ai-transparency-statement
94,Treasury ,Commonwealth Grants Commission ,Non-corporate Commonwealth entity ,Secretary of the Commission – Commonwealth Grants Commission Act 1973 section 7 (3)(b) ,General Govt Sector ,https://www.cgc.gov.au/about-us/accountability-and-reporting/artificial-intelligence-transparency-statement
95,Treasury ,Office of the Auditing and Assurance Standards Board (AUASB) ,Non-corporate Commonwealth entity ,"Chair of the Auditing and Assurance Standards Board - Public Governance, Performance and Accountability Rule 2014 schedule 1 item 16(b) ",General Govt Sector ,https://auasb.gov.au/about-auasb/artificial-intelligence-ai-transparency-statement/
96,Treasury ,Office of the Australian Accounting Standards Board (AASB) ,Non-corporate Commonwealth entity ,"Chair of the Australian Accounting Standards Board – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 17(b) ",General Govt Sector ,https://aasb.gov.au/about-the-aasb/artificial-intelligence-ai-transparency-statement/
97,Treasury ,Productivity Commission ,Non-corporate Commonwealth entity ,Chair – Productivity Commission Act 1998 section 5(2)(b) ,General Govt Sector ,https://www.pc.gov.au/ai-transparency
98,Treasury ,Royal Australian Mint ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 20(c) ",General Govt Sector ,https://www.ramint.gov.au/sites/default/files/2025-04/royal_australian_mint_ai_transparency_statement.pdf
99,Treasury ,Australian Reinsurance Pool Corporation ,Corporate Commonwealth entity ,The members of the Corporation – Terrorism and Cyclone Insurance Act 2003 section 12 with reference to section 20(2) note ,Public Financial Corporation ,https://arpc.gov.au/about/corporate-governance/ai-transparency-statement/
100,Veterans’ Affairs (part of the Defence Portfolio) ,Department of Veterans’ Affairs ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dva.gov.au/about-us/corporate-governance/artificial-intelligence-ai-transparency-statement
101,Parliamentary Department (not a portfolio) ,Department of Parliamentary Services ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 12(2) item 2, see also Parliamentary Service Act 1999 section 7 ",General Govt Sector ,https://www.aph.gov.au/About_Parliament/Parliamentary_departments/Department_of_Parliamentary_Services/Publications/AI_Transparency_Statement
102,Parliamentary Department (not a portfolio) ,Department of the House of Representatives ,Non-corporate Commonwealth entity ,"The Clerk of the House – Public Governance, Performance and Accountability Act 2013 section 12(2) item 2, see also Parliamentary Service Act 1999 section 7 ",General Govt Sector ,https://www.aph.gov.au/-/media/05_About_Parliament/54_Parliamentary_Depts/542_Dept_of_House_of_Reps/Documents/DHR_AI_Transparency_Statement_-_Final_1.pdf?la=en&hash=0D3954094D30BBF5DC4105EFB239E08E6A836D90
103,Parliamentary Department (not a portfolio) ,Department of the Senate ,Non-corporate Commonwealth entity ,"The Clerk of the Senate – Public Governance, Performance and Accountability Act 2013 section 12(2) item 2, see also Parliamentary Service Act 1999 section 7 ",General Govt Sector ,https://www.aph.gov.au/About_Parliament/Parliamentary_departments/Department_of_the_Senate/Accountability_and_reporting/AI_transparency_statement
104,Parliamentary Department (not a portfolio) ,Parliamentary Budget Office ,Non-corporate Commonwealth entity ,"Parliamentary Budget Officer – Public Governance, Performance and Accountability Act 2013 section 12(2) item 2, see also Parliamentary Service Act 1999 section 7 ",General Govt Sector ,https://www.pbo.gov.au/about-the-pbo/performance-and-reporting/information-and-privacy/ai-transparency-statement
